House Name,House Price,House Location,House Info,House Link
4 marla house for sale in wah Valley,"4,800,000","Wah, Punjab•",224 Marla,https://www.olx.com.pk/item/4-marla-house-for-sale-in-wah-valley-iid-1100806893
Brand New House in Bahria Enlcave Sector A 10 Marla Available For Sale in Prime Location. Reasonable Demand.,"59,850,000","Bahria Enclave - Sector A, Islamabad•",5610 Marla,https://www.olx.com.pk/item/brand-new-house-in-bahria-enlcave-sector-a-10-marla-available-for-sale-in-prime-location-reasonable-demand-iid-1100021827
Brand New House For Sale,"43,000,000","D-12, Islamabad•",444 Marla,https://www.olx.com.pk/item/brand-new-house-for-sale-iid-1099278264
2 Kanal Farm House For Sale Opposite Top City,"95,000,000","Top City 1, Islamabad•",6+7+2 Kanal,https://www.olx.com.pk/item/2-kanal-farm-house-for-sale-opposite-top-city-iid-1099956431
3 Years Installment Plan Luxury Brand New House In Dha Phase 8,"49,986,000","DHA Phase 8, Lahore•",5610 Marla,https://www.olx.com.pk/item/3-years-installment-plan-luxury-brand-new-house-in-dha-phase-8-iid-1100246554
"3 ACRE DEVELOPED CORNER FARM HOUSE BAILYPUR,PARALLEL TO SMALL BUSINESS CORPURATION SUNDAR ROAD LAHORE.","144,000,000","Sundar Road, Lahore•",3324 Kanal,https://www.olx.com.pk/item/3-acre-developed-corner-farm-house-bailypurparallel-to-small-business-corpuration-sundar-road-lahore-iid-1100000370
House For Sale Model Colony Sheet 18,"18,500,000","Model Colony - Malir, Karachi•",44108 SQYD,https://www.olx.com.pk/item/house-for-sale-model-colony-sheet-18-iid-1100048018
Pent House For Sale Shamsi Society Portion 3rd Floor With Roof,"10,000,000","Shamsi Society, Karachi•",Studio1125 SQYD,https://www.olx.com.pk/item/pent-house-for-sale-shamsi-society-portion-3rd-floor-with-roof-iid-1100047993
sadaf society bungalow for sale in johar,"30,000,000","Sadaf Cooperative Housing Society, Karachi•",6+6120 SQYD,https://www.olx.com.pk/item/sadaf-society-bungalow-for-sale-in-johar-iid-1100882415
House For Sale Sheet 27 Model Colony 120 Sqyd Near Main Road,"32,500,000","Model Colony - Malir, Karachi•",45120 SQYD,https://www.olx.com.pk/item/house-for-sale-sheet-27-model-colony-120-sqyd-near-main-road-iid-1100691810
Falak naz dreams 120 sqyd house available for sale,"16,000,000","Falaknaz Dreams, Karachi•",47+120 SQYD,https://www.olx.com.pk/item/falak-naz-dreams-120-sqyd-house-available-for-sale-iid-1100275657
200 sqyd house for sale model colony sheet 17,"27,500,000","Model Colony - Malir, Karachi•",6+7+200 SQYD,https://www.olx.com.pk/item/200-sqyd-house-for-sale-model-colony-sheet-17-iid-1100275516
House for sale railway housing society near airport malir halt,"33,000,000","Airport Road, Karachi•",6+7+215 SQYD,https://www.olx.com.pk/item/house-for-sale-railway-housing-society-near-airport-malir-halt-iid-1100084774
House for sale model colony 100 sqyd ground plus 3,"16,000,000","Model Colony - Malir, Karachi•",6+7+100 SQYD,https://www.olx.com.pk/item/house-for-sale-model-colony-100-sqyd-ground-plus-3-iid-1100083959
House for sale near airport malir halt alamgir society,"16,000,000","Airport Road, Karachi•",23120 SQYD,https://www.olx.com.pk/item/house-for-sale-near-airport-malir-halt-alamgir-society-iid-1099969800
5 Marla Good Condition Used House Available For Sale,"21,500,000","Bahria Town - Sector D, Lahore•",345 Marla,https://www.olx.com.pk/item/5-marla-good-condition-used-house-available-for-sale-iid-1100882378
6 Room Bungalow 120 Square Yard Ready To Move House Boundary Wall Society Kings Garden Phase - 1 Scheme 33 Near To Capital Society,"26,000,000","Kings Garden, Karachi•",46120 SQYD,https://www.olx.com.pk/item/6-room-bungalow-120-square-yard-ready-to-move-house-boundary-wall-society-kings-garden-phase-1-scheme-33-near-to-capital-society-iid-1100237136
leased bungalow 120y g+2 for sale in johar,"500,000","Gulistan-e-Jauhar Block 7, Karachi•",6+6120 SQYD,https://www.olx.com.pk/item/leased-bungalow-120y-g2-for-sale-in-johar-iid-1100882349
Comercial Brand New Project New Newly Construction Shop Main Shaheed e Milat Road Great Investment Opportunity Handsome Rental Income More Details On Description,"130,000,000","Kings Luxury Apartments, Karachi•","Studio12,260 SQFT",https://www.olx.com.pk/item/comercial-brand-new-project-new-newly-construction-shop-main-shaheed-e-milat-road-great-investment-opportunity-handsome-rental-income-more-details-on-description-iid-1100699245
Newly Construction Top Floor With Paint House Gulistan E Johar Block 15 Beside Continatal Bakery,"31,000,000","Kings Tower, Karachi•","553,300 SQFT",https://www.olx.com.pk/item/newly-construction-top-floor-with-paint-house-gulistan-e-johar-block-15-beside-continatal-bakery-iid-1100237155
Double Story House at Prime Location,"25,000,000","Haroon Bahria Society - Sector 2, Karachi•",45120 SQYD,https://www.olx.com.pk/item/double-story-house-at-prime-location-iid-1100039868
An Architect Designed 25x50 Feet House In D-12/1 For Sale,"55,000,000","D-12/1, Islamabad•",555 Marla,https://www.olx.com.pk/item/an-architect-designed-25x50-feet-house-in-d-121-for-sale-iid-1099958881
Wapda City Brand New 5 Marla House For Sale,"20,000,000","Wapda City, Faisalabad•",345 Marla,https://www.olx.com.pk/item/wapda-city-brand-new-5-marla-house-for-sale-iid-1100791232
Original Picture Attached House at only Plot Price,"74,900,000","DHA Phase 5 - Block K, Lahore•",5620 Marla,https://www.olx.com.pk/item/original-picture-attached-house-at-only-plot-price-iid-1100216067
1 Kanal Near To Park Brand New House For Sale In Sector M-3 Lake City Raiwind Road Lahore,"92,500,000","Lake City, Lahore•",6+61 Kanal,https://www.olx.com.pk/item/1-kanal-near-to-park-brand-new-house-for-sale-in-sector-m-3-lake-city-raiwind-road-lahore-iid-1100584561
"DHA Phase 5, 01 Kanal, 05 Bed, Fully Furnished Luxurious House With Basement For Sale.","169,000,000","DHA Phase 5, Lahore•",561 Kanal,https://www.olx.com.pk/item/dha-phase-5-01-kanal-05-bed-fully-furnished-luxurious-house-with-basement-for-sale-iid-1100817582
8 MARLA HOUSE FOR SALE MULTI F-17 ISLAMABAD ALL FACILITY AVAILABLE,"20,500,000","F-17, Islamabad•",568 Marla,https://www.olx.com.pk/item/8-marla-house-for-sale-multi-f-17-islamabad-all-facility-available-cda-approved-sector-mpchs-iid-1099658237
5 marla double story Spanish house,"17,500,000","Central Park Housing Scheme, Lahore•",335 Marla,https://www.olx.com.pk/item/5-marla-double-story-spanish-house-iid-1100411832
Stunning 10 Marla Contemporary House in Banker Avenue Dont Miss Out!,"29,000,000","Bankers Avenue, Lahore•",5610 Marla,https://www.olx.com.pk/item/stunning-10-marla-contemporary-house-in-banker-avenue-dont-miss-out-iid-1100217696
Commercial Already Rental Space Handsome Rental Income Best Deal For Investor Basement On Main Gulistan E Johar Pics Video Available Visit Then Decide,"32,000,000","Gulistan-e-Jauhar Block 3, Karachi•",22400 SQYD,https://www.olx.com.pk/item/commercial-already-rental-space-handsome-rental-income-best-deal-for-investor-basement-on-main-gulistan-e-johar-pics-video-available-visit-then-decide-iid-1100237190
bungalow 200y g+2 for sale in johar,"37,500,000","Gulistan-e-Jauhar Block 5, Karachi•",6+6200 SQYD,https://www.olx.com.pk/item/bungalow-200y-g2-for-sale-in-johar-iid-1100882292
Luxurious 22 Marla Owner-Built Masterpiece | 5 Bedrooms | Solar Powered | Prime Location,"85,000,000","Bahria Town - Sector E, Lahore•",57+22 Marla,https://www.olx.com.pk/item/luxurious-22-marla-owner-built-masterpiece-5-bedrooms-solar-powered-prime-location-iid-1100882161
House For Sale West Open Next To Main Road First Street Excellent Condition,"19,000,000","North Karachi - Sector 8, Karachi•",22120 SQYD,https://www.olx.com.pk/item/house-for-sale-west-open-next-to-main-road-first-street-excellent-condition-iid-1100882071
Ground Plus 2 House For Sale Park Facing 40 Road Facing In North Karachi Sector 8,"25,000,000","North Karachi, Karachi•",46120 SQYD,https://www.olx.com.pk/item/ground-plus-2-house-for-sale-park-facing-40-road-facing-in-north-karachi-sector-8-iid-1100881970
A House Is Up For Grabs In New Karachi,"14,900,000","New Karachi - Sector 5-A/3, Karachi•",4680 SQFT,https://www.olx.com.pk/item/a-house-is-up-for-grabs-in-new-karachi-iid-1100881964
House Demolished Condition Main 150 Feet Road Facing West Open Kda Lease North Karachi Sector 5C 1,"17,700,000","North Karachi, Karachi•",45120 SQYD,https://www.olx.com.pk/item/house-demolished-condition-main-150-feet-road-facing-west-open-kda-lease-north-karachi-sector-5c-1-iid-1100881954
House G +2 Excellent Condition Near To Main Road North Karachi Sector 8,"19,500,000","North Karachi - Sector 8, Karachi•",46120 SQYD,https://www.olx.com.pk/item/house-g-2-excellent-condition-near-to-main-road-north-karachi-sector-8-iid-1100881939
Fair-Priced 1 Square Yards House Available In North Karachi - Sector 8,"24,500,000","North Karachi - Sector 8, Karachi•",56120 SQYD,https://www.olx.com.pk/item/fair-priced-1-square-yards-house-available-in-north-karachi-sector-8-iid-1100881933
HOUSE GROUND PLUS 2 GOOD CONDITION NORTH KARACHI SECTOR 8,"19,000,000","North Karachi - Sector 8, Karachi•",6+6120 SQFT,https://www.olx.com.pk/item/house-ground-plus-2-good-condition-north-karachi-sector-8-iid-1100881930
Beautiful 5 Marla Used Furnished House For sale in BB block Bahria Town Lahore,"19,500,000","Bahria Town - Sector D, Lahore•",355 Marla,https://www.olx.com.pk/item/beautiful-5-marla-used-furnished-house-for-sale-in-bb-block-bahria-town-lahore-iid-1100881915
5 Marla brand new home for sale,"17,500,000","Jubilee Town, Lahore•",565 Marla,https://www.olx.com.pk/item/5-marla-brand-new-home-for-sale-iid-1100881882
Ready To Sale A Prime Location House 200 Square Yards In North Nazimabad - Block J Karachi,"45,000,000","North Nazimabad - Block J, Karachi•",6+6200 SQYD,https://www.olx.com.pk/item/ready-to-sale-a-prime-location-house-200-square-yards-in-north-nazimabad-block-j-karachi-iid-1100241683
Ready To Sale A Prime Location House 256 Square Yards In North Nazimabad - Block N Karachi,"55,000,000","North Nazimabad - Block N, Karachi•",6+3256 SQYD,https://www.olx.com.pk/item/ready-to-sale-a-prime-location-house-256-square-yards-in-north-nazimabad-block-n-karachi-iid-1100241682
BEAUTIFUL HOUSE FOR SALE Near Model Town Link Road Lahore,"21,000,000","Model Town Link Road, Lahore•",346 Marla,https://www.olx.com.pk/item/beautiful-house-for-sale-near-model-town-link-road-lahore-iid-1096088920
5 Marla House For Sale In Bagh E Iram Housing Scoeity,"18,500,000","Bagh-e-Iram Housing Society, Lahore•",Studio15 Marla,https://www.olx.com.pk/item/5-marla-house-for-sale-in-bagh-e-iram-housing-scoeity-iid-1100777515
3 Years Installment Plan Luxury Brand New House In Dha Phase 8,"91,971,000","DHA Phase 8, Lahore•",561 Kanal,https://www.olx.com.pk/item/3-years-installment-plan-luxury-brand-new-house-in-dha-phase-8-iid-1100246543
8 MARLA HOUSE FOR SALE MULTI F-17 ISLAMABAD ALL FACILITY AVAILABLE,"20,500,000","F-17, Islamabad•",568 Marla,https://www.olx.com.pk/item/8-marla-house-for-sale-multi-f-17-islamabad-all-facility-available-cda-approved-sector-mpchs-iid-1099658237
3 Years Installment Plan Luxury Brand New House In Dha Phase 8,"49,986,000","DHA Phase 8, Lahore•",5610 Marla,https://www.olx.com.pk/item/3-years-installment-plan-luxury-brand-new-house-in-dha-phase-8-iid-1100246554
3 Marla 3 Sarsai House for sale (2.5 story),"9,200,000","Satellite Town, Faisalabad•",533.4 Marla,https://www.olx.com.pk/item/3-marla-3-sarsai-house-for-sale-25-story-iid-1100440908
8 MARLA CORNER SINGLE STOREY HOUSE FOR SALE MULTI F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA APPROVED SECTOR,"18,000,000","Tele Garden (T&T ECHS), Islamabad•",338 Marla,https://www.olx.com.pk/item/8-marla-corner-single-storey-house-for-sale-multi-f-17-islamabad-all-facility-available-cda-approved-sector-iid-1099658420
6 Marla Double Storey House For Sale Islamabad,"11,000,000","Burma Town, Islamabad•",6+66 Marla,https://www.olx.com.pk/item/6-marla-double-storey-house-for-sale-islamabad-iid-1100510755
3 Years Installments Plan 5 Marla Brand New House For Sale In Central Park Lahore,"14,994,000","Central Park Housing Scheme, Lahore•",455 Marla,https://www.olx.com.pk/item/3-years-installments-plan-5-marla-brand-new-house-for-sale-in-central-park-lahore-iid-1100810668
Ready To Sale A Prime Location House 256 Square Yards In North Nazimabad - Block L Karachi,"58,000,000","North Nazimabad - Block L, Karachi•",6+3256 SQYD,https://www.olx.com.pk/item/ready-to-sale-a-prime-location-house-256-square-yards-in-north-nazimabad-block-l-karachi-iid-1100241681
Prime Location 200 Square Yards House Is Available For sale In North Nazimabad - Block J,"37,500,000","North Nazimabad - Block J, Karachi•",Studio1200 SQYD,https://www.olx.com.pk/item/prime-location-200-square-yards-house-is-available-for-sale-in-north-nazimabad-block-j-iid-1100241680
House Spread Over 246 Square Yards In North Nazimabad - Block N Available,"54,000,000","North Nazimabad - Block N, Karachi•",6+6256 SQYD,https://www.olx.com.pk/item/house-spread-over-246-square-yards-in-north-nazimabad-block-n-available-iid-1100241664
House Is Available For sale In North Nazimabad - Block N,"85,000,000","North Nazimabad - Block N, Karachi•",Studio1458 SQYD,https://www.olx.com.pk/item/house-is-available-for-sale-in-north-nazimabad-block-n-iid-1100241657
House For Sale In Karachi,"60,000,000","North Nazimabad - Block L, Karachi•",Studio1256 SQYD,https://www.olx.com.pk/item/house-for-sale-in-karachi-iid-1100241654
House In North Nazimabad - Block J For Sale,"37,500,000","North Nazimabad - Block J, Karachi•",Studio1200 SQYD,https://www.olx.com.pk/item/house-in-north-nazimabad-block-j-for-sale-iid-1100241650
3 Marla brand new home for sale,"13,500,000","Jubilee Town, Lahore•",443 Marla,https://www.olx.com.pk/item/3-marla-brand-new-home-for-sale-iid-1100881813
5 Marla Slightly used house for sale On top Location Of Bahria Town,"21,500,000","Bahria Town - Sector E, Lahore•",355 Marla,https://www.olx.com.pk/item/5-marla-slightly-used-house-for-sale-on-top-location-of-bahria-town-iid-1100881756
10 Marla brand new home for sale,"36,000,000","Jubilee Town, Lahore•",6+7+10 Marla,https://www.olx.com.pk/item/10-marla-brand-new-home-for-sale-iid-1100881725
North Nazimabad block L ground plus one house for sale,"50,000,000","North Nazimabad - Block L, Karachi•",33240 SQYD,https://www.olx.com.pk/item/north-nazimabad-block-l-ground-plus-one-house-for-sale-iid-1100881702
10 Marla brand Owner Build Home For Sale,"27,400,000","LDA Avenue, Lahore•",3410 Marla,https://www.olx.com.pk/item/10-marla-brand-owner-build-home-for-sale-iid-1100881645
10 Marla owner build home for sale,"23,900,000","LDA Avenue, Lahore•",6+7+10 Marla,https://www.olx.com.pk/item/10-marla-owner-build-home-for-sale-iid-1100881565
2 Marla brand new house for sale in iqbal park near DHA main boulevard,"10,800,000","Iqbal Park, Lahore•",33500 SQFT,https://www.olx.com.pk/item/2-marla-brand-new-house-for-sale-in-iqbal-park-near-dha-main-boulevard-iid-1100503400
Brand New 1 Kanal House Available In IEP Engineers Town For sale,"46,000,000","IEP Engineers Town, Lahore•",6+61 Kanal,https://www.olx.com.pk/item/brand-new-1-kanal-house-available-in-iep-engineers-town-for-sale-iid-1100880752
5 Marla Plot for sale on Possession Plot best location,"1,850,000","Lahore Motorway City - Block T Prime, Lahore•",Studio15 Marla,https://www.olx.com.pk/item/5-marla-plot-for-sale-on-possession-plot-best-location-iid-1100806273
sale A House In Karachi Prime Location,"500,000","Bahria Town - Precinct 6, Karachi•",44272 SQYD,https://www.olx.com.pk/item/sale-a-house-in-karachi-prime-location-iid-1100562880
17 MARLA HOUSE AVAILABLE FOR SALE IN ASKRI 10 VERY GOOD LOCATION.,"75,000,000","Askari 10 - Sector F, Lahore•",4517 Marla,https://www.olx.com.pk/item/17-marla-house-available-for-sale-in-askri-10-very-good-location-iid-1100156050
5 Marla Corner double story house in Janjua Adiala road,"16,000,000","Adiala Road, Rawalpindi•",445 Marla,https://www.olx.com.pk/item/5-marla-corner-double-story-house-in-janjua-adiala-road-iid-1100483160
7 MARLA UNIQUE DESIGNER HOUSE FOR SALE,"29,500,000","Bahria Town Phase 8 - Safari Valley, Rawalpindi•",57+7 Marla,https://www.olx.com.pk/item/7-marla-unique-designer-house-for-sale-iid-1099847117
Triple Storey Mumtaz City 08 Marla House For Sale,"34,000,000","Mumtaz City, Islamabad•",6+7+8 Marla,https://www.olx.com.pk/item/triple-storey-mumtaz-city-08-marla-house-for-sale-iid-1099999910
Out class house and out class location,"190,000,000","D-12/4, Islamabad•",6+7+1 Kanal,https://www.olx.com.pk/item/out-class-house-and-out-class-location-iid-1100642129
5 Marla Brand New House For Sale Citi Housing Gujranwala,"18,500,000","Citi Housing Society, Gujranwala•",445 Marla,https://www.olx.com.pk/item/5-marla-brand-new-house-for-sale-citi-housing-gujranwala-iid-1100701889
13 Marla Luxury house available for sale in wapda Town peshawar,"37,000,000","Wapda Town Sector M, Peshawar•",6+7+13 Marla,https://www.olx.com.pk/item/13-marla-luxury-house-available-for-sale-in-wapda-town-peshawar-iid-1100786721
Stunning 7 Marla House In Allama Iqbal Town Available,"35,000,000","Allama Iqbal Town, Lahore•",557 Marla,https://www.olx.com.pk/item/stunning-7-marla-house-in-allama-iqbal-town-available-iid-1100880596
Your Dream Brand New 394 Square Feet House Is Available In Al-Hamad Colony (AIT),"8,000,000","Al-Hamad Colony (AIT), Lahore•",33394 SQFT,https://www.olx.com.pk/item/your-dream-brand-new-394-square-feet-house-is-available-in-al-hamad-colony-ait-iid-1100880592
Falaknaz Dream Villas 120 Sqy Single Unit,"8,600,000","Falaknaz Dreams, Karachi•",22120 SQYD,https://www.olx.com.pk/item/falaknaz-dream-villas-120-sqy-single-unit-iid-1100880572
Prime Location 5 Marla House For sale In Park View City Park View City In Only Rs. 19500000,"19,500,000","Park View Villas, Lahore•",445 Marla,https://www.olx.com.pk/item/prime-location-5-marla-house-for-sale-in-park-view-city-park-view-city-in-only-rs-19500000-iid-1100514253
5 Marla 4 Bed Owner Built House For Sale @ Investor Rate in Bahria Town Phase 8 Rawalpindi,"18,000,000","Bahria Town Phase 8, Rawalpindi•",445 Marla,https://www.olx.com.pk/item/5-marla-4-bed-owner-built-house-for-sale-investor-rate-in-bahria-town-phase-8-rawalpindi-iid-1100880345
Ready To Buy A House 10 Marla In Allama Iqbal Town - Ravi Block,"42,500,000","Allama Iqbal Town - Ravi Block, Lahore•",6+610 Marla,https://www.olx.com.pk/item/ready-to-buy-a-house-10-marla-in-allama-iqbal-town-ravi-block-iid-1100880310
Get In Touch Now To Buy A 3 Marla House In Al-Hamad Colony (AIT) Al-Hamad Colony (AIT),"14,000,000","Al-Hamad Colony (AIT), Lahore•",333 Marla,https://www.olx.com.pk/item/get-in-touch-now-to-buy-a-3-marla-house-in-al-hamad-colony-ait-al-hamad-colony-ait-iid-1100880308
A House Of 11 Marla In Rs. 45000000,"45,000,000","Allama Iqbal Town - Pak Block, Lahore•",4411 Marla,https://www.olx.com.pk/item/a-house-of-11-marla-in-rs-45000000-iid-1100880307
A 6 Marla House Is Up For Grabs In Allama Iqbal Town,"38,000,000","Allama Iqbal Town, Lahore•",6+66 Marla,https://www.olx.com.pk/item/a-6-marla-house-is-up-for-grabs-in-allama-iqbal-town-iid-1100880305
Corner House Of 23 Marla Available In Johar Town Phase 1 - Block E,"85,000,000","Johar Town Phase 1 - Block E, Lahore•",5523 Marla,https://www.olx.com.pk/item/corner-house-of-23-marla-available-in-johar-town-phase-1-block-e-iid-1100880301
Ready To Buy A House In Allama Iqbal Town Allama Iqbal Town,"85,000,000","Allama Iqbal Town, Lahore•",5610 Marla,https://www.olx.com.pk/item/ready-to-buy-a-house-in-allama-iqbal-town-allama-iqbal-town-iid-1100880299
Stunning and affordable House available for sale in New Muslim Town,"180,000,000","New Muslim Town, Lahore•",6+62 Kanal,https://www.olx.com.pk/item/stunning-and-affordable-house-available-for-sale-in-new-muslim-town-iid-1100880295
Perfect 32 Marla House In Canal View For sale,"80,000,000","Canal View, Lahore•",6+632 Marla,https://www.olx.com.pk/item/perfect-32-marla-house-in-canal-view-for-sale-iid-1100880293
Unoccupied House Of 4 Kanal Is Available For sale In Gulberg,"450,000,000","Gulberg 3 - Block L, Lahore•",6+64 Kanal,https://www.olx.com.pk/item/unoccupied-house-of-4-kanal-is-available-for-sale-in-gulberg-iid-1100880291
Fair-Priced Prime Location 375 Square Yards House Available In Federal B Area - Block 10,"110,000,000","Federal B Area - Block 10, Karachi•",6+6375 SQYD,https://www.olx.com.pk/item/fair-priced-prime-location-375-square-yards-house-available-in-federal-b-area-block-10-iid-1100283188
Sector B2 20 Marla Brand New Spanish Designer House available For Sale.,"103,000,000","Bahria Enclave - Sector B2, Islamabad•",551 Kanal,https://www.olx.com.pk/item/sector-b2-20-marla-brand-new-spanish-designer-house-available-for-sale-iid-1099878406
Brand New 3 Marla Corner House For Sale In Rehan Garden Phase 2,"9,500,000","Rehan Garden Phase 2, Lahore•",Studio13 Marla,https://www.olx.com.pk/item/brand-new-3-marla-corner-house-for-sale-in-rehan-garden-phase-2-iid-1100069281
One Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Bungalow 2 Servant Quarter In Basement For Sale At Prime Location Of DHA Lahore Near To Park Masjid Mcdonalds & Commercial Market,"91,500,000","DHA Phase 7 - Block Y, Lahore•",561 Kanal,https://www.olx.com.pk/item/one-kanal-brand-new-luxury-ultra-modern-design-most-beautiful-bungalow-2-servant-quarter-in-basement-for-sale-at-prime-location-of-dha-lahore-near-to-park-masjid-mcdonalds-commercial-market-iid-1100404353
6 Marla beautiful house in adyala road,"5,500,000","Adiala Road, Rawalpindi•",236 Marla,https://www.olx.com.pk/item/6-marla-beautiful-house-in-adyala-road-iid-1100016148
In Military Accounts Housing Society House For Sale Sized 6 Marla,"24,500,000","Military Accounts Housing Society, Lahore•",556 Marla,https://www.olx.com.pk/item/in-military-accounts-housing-society-house-for-sale-sized-6-marla-iid-1099339449
Brand New House For Sale,"43,000,000","D-12, Islamabad•",444 Marla,https://www.olx.com.pk/item/brand-new-house-for-sale-iid-1099278264
1 Kanal House In Bahria Town Of Lahore Is Available For sale,"80,000,000","Bahria Town - Nishtar Block, Lahore•",551 Kanal,https://www.olx.com.pk/item/1-kanal-house-in-bahria-town-of-lahore-is-available-for-sale-iid-1099877671
Luxury 10 Marla House For Sale In Top City,"41,500,000","Top City 1, Islamabad•",6+7+10 Marla,https://www.olx.com.pk/item/luxury-10-marla-house-for-sale-in-top-city-iid-1099999747
Luxurious 5 Marla House: Marble Rooftop Majesty!,"17,000,000","New City Phase 2 - Block L, Wah•",455 Marla,https://www.olx.com.pk/item/luxurious-5-marla-house-marble-rooftop-majesty-iid-1100355753
"Owner-Built Double Unit House For Sale In Faisal Hills A Block, Taxila!!!","18,500,000","Faisal Hills - Block A, Taxila•",455 Marla,https://www.olx.com.pk/item/owner-built-double-unit-house-for-sale-in-faisal-hills-a-block-taxila-iid-1100248710
Prime Location 14 Marla Corner House available for Sale in B Block B-17 Islamabad Near Gate 1 GT Road!!,"60,000,000","B-17, Islamabad•",6+7+14 Marla,https://www.olx.com.pk/item/prime-location-14-marla-corner-house-available-for-sale-in-b-block-b-17-islamabad-near-gate-1-gt-road-iid-1099941655
Prime Location 5 Marla Double Unit House For Sale In Faisal Margalla City Near To Park!,"23,000,000","Faisal Margalla City, Islamabad•",555 Marla,https://www.olx.com.pk/item/prime-location-5-marla-double-unit-house-for-sale-in-faisal-margalla-city-near-to-park-iid-1099941626
Triple Storey 5 Marla House For Sale In Allama Iqbal Town - Neelam Block Lahore,"27,500,000","Allama Iqbal Town - Neelam Block, Lahore•",6+65 Marla,https://www.olx.com.pk/item/triple-storey-5-marla-house-for-sale-in-allama-iqbal-town-neelam-block-lahore-iid-1100880177
A Centrally Located House Is Available For sale In Lahore,"21,500,000","Allama Iqbal Town - Neelam Block, Lahore•","441,375 SQFT",https://www.olx.com.pk/item/a-centrally-located-house-is-available-for-sale-in-lahore-iid-1100880175
Single Storey 5 Marla House Available In Allama Iqbal Town - Neelam Block For sale,"18,000,000","Allama Iqbal Town - Neelam Block, Lahore•",225 Marla,https://www.olx.com.pk/item/single-storey-5-marla-house-available-in-allama-iqbal-town-neelam-block-for-sale-iid-1100880174
You Can Find A Gorgeous House For sale In Allama Iqbal Town - Neelam Block,"20,000,000","Allama Iqbal Town - Neelam Block, Lahore•",445 Marla,https://www.olx.com.pk/item/you-can-find-a-gorgeous-house-for-sale-in-allama-iqbal-town-neelam-block-iid-1100880171
Well-constructed Brand New House Available For sale In Clifton Colony,"17,500,000","Clifton Colony, Lahore•",44785 SQFT,https://www.olx.com.pk/item/well-constructed-brand-new-house-available-for-sale-in-clifton-colony-iid-1100880167
Triple Storey 2 Marla House For Sale In Clifton Colony Clifton Colony,"8,000,000","Clifton Colony, Lahore•",332 Marla,https://www.olx.com.pk/item/triple-storey-2-marla-house-for-sale-in-clifton-colony-clifton-colony-iid-1100880166
Solid 8 Marla Ideal Budgeted House For Sale In Faisal Margallah City Islamabad!!!,"30,000,000","Faisal Margalla City, Islamabad•",448 Marla,https://www.olx.com.pk/item/solid-8-marla-ideal-budgeted-house-for-sale-in-faisal-margallah-city-islamabad-iid-1100586959
5 Marla Luxury Brand New corner House For Sale Original picture,"18,500,000","Park View Villas, Lahore•",445 Marla,https://www.olx.com.pk/item/5-marla-luxury-brand-new-corner-house-for-sale-original-picture-iid-1100880051
"272sq Yard GREY Structure Villa Available FOR SALE In Precinct-8, Near BAHRIA HEIGHTS. 5 Bedroom Under Construction Villa On SALE. Get Your Villa Ready By Your Own Choices. Call For Details.","15,000,000","Bahria Town - Precinct 8, Karachi•",55272 SQYD,https://www.olx.com.pk/item/272sq-yard-grey-structure-villa-available-for-sale-in-precinct-8-near-bahria-heights-5-bedroom-under-construction-villa-on-sale-get-your-villa-ready-by-your-own-choices-call-for-details-iid-1100879826
5 Marla 4 Bed Brand New House For Sale in Near Askari 14 Rawalpindi,"23,000,000","Askari 14, Rawalpindi•",465 Marla,https://www.olx.com.pk/item/5-marla-4-bed-brand-new-house-for-sale-in-near-askari-14-rawalpindi-iid-1100879646
